date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:27	13294/13294	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202017%2017:39:46%20GMT	http://themes.khaitawng.com/Branten/index.html	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/index.html	(from )
10:55:28	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Oct%202017%2005:25:27%20GMT	http://themes.khaitawng.com/robots.txt		(from )
10:55:28	937/937	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202017%2017:01:12%20GMT	http://themes.khaitawng.com/Branten/images/favicon.png	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/images/favicon.png	(from http://themes.khaitawng.com/Branten/index.html)
10:55:31	121260/121260	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202017%2017:00:46%20GMT	http://themes.khaitawng.com/Branten/css/bootstrap.min.css	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/css/bootstrap.min.css	(from http://themes.khaitawng.com/Branten/index.html)
10:55:31	72922/72922	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202017%2017:00:44%20GMT	http://themes.khaitawng.com/Branten/css/animate.css	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/css/animate.css	(from http://themes.khaitawng.com/Branten/index.html)
10:55:31	27466/27466	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202017%2017:00:46%20GMT	http://themes.khaitawng.com/Branten/css/font-awesome.min.css	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/css/font-awesome.min.css	(from http://themes.khaitawng.com/Branten/index.html)
10:55:33	6951/6951	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202017%2017:00:48%20GMT	http://themes.khaitawng.com/Branten/css/magnific-popup.css	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/css/magnific-popup.css	(from http://themes.khaitawng.com/Branten/index.html)
10:55:34	10116/10116	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202017%2017:40:43%20GMT	http://themes.khaitawng.com/Branten/css/style.css	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/css/style.css	(from http://themes.khaitawng.com/Branten/index.html)
10:55:42	39717/39717	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Jun%202017%2017:01:13%20GMT	http://themes.khaitawng.com/Branten/images/work-1.jpg	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/images/work-1.jpg	(from http://themes.khaitawng.com/Branten/index.html)
10:55:42	69964/69964	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Jun%202017%2017:01:10%20GMT	http://themes.khaitawng.com/Branten/images/about-img.jpg	/Users/RajatSharma/websites/test/themes.khaitawng.com/Branten/images/about-img.jpg	(from http://themes.khaitawng.com/Branten/index.html)
